iso3,year,month,country_role,funding_usd,flow_count,has_cerf,has_echo,sector_mix
HTI,2020,11,tier1,3133578,8,1,1,Education | Health | Nutrition | Protection | Water Sanitation Hygiene
HTI,2020,12,tier1,1270286,4,0,0,Coordination and support services | Food Security | Health | Logistics
HTI,2021,1,tier1,6968661,5,0,0,Coordination and support services | Food Security | Logistics | Unearmarked
HTI,2021,2,tier1,1827137,3,0,0,Health | Logistics | Unearmarked
HTI,2021,3,tier1,4824303,8,0,0,Agriculture | Coordination and support services | Food Security | Logistics | Unearmarked
HTI,2021,4,tier1,7953886,4,0,1,Food Security | Health | Unearmarked
HTI,2021,6,tier1,19876192,13,1,0,Coordination and support services | Food Security | Health | Nutrition | Protection | Protection - Gender-Based Violence | Unearmarked
HTI,2021,7,tier1,3104093,10,1,0,Coordination and support services | Emergency Shelter and NFI | Logistics | Nutrition | Protection | Protection - Gender-Based Violence | Unearmarked | Water Sanitation Hygiene
HTI,2021,8,tier1,26339002,8,0,0,Food Security | Other | Unearmarked
HTI,2021,9,tier1,22128841,17,1,0,Coordination and support services | Education | Emergency Shelter and NFI | Food Security | Health | Logistics | Multi-sector | Protection | Protection - Child Protection | Unearmarked | Water Sanitation Hygiene
HTI,2021,10,tier1,9861488,16,1,0,Coordination and support services | Emergency Shelter and NFI | Food Security | Health | Logistics | Multi-sector | Unearmarked | Water Sanitation Hygiene
HTI,2021,11,tier1,9643298,25,0,0,Education | Food Security | Health | Protection - Gender-Based Violence | Unearmarked
HTI,2021,12,tier1,2048122,5,0,0,Coordination and support services | Education | Health | Unearmarked | Water Sanitation Hygiene
HTI,2022,1,tier1,1208006,6,0,0,Education | Food Security | Multi-sector | Water Sanitation Hygiene
HTI,2022,2,tier1,13031907,6,0,0,Coordination and support services | Health | Multi-sector | Protection | Unearmarked
HTI,2022,3,tier1,19876958,27,1,0,Coordination and support services | Education | Emergency Shelter and NFI | Food Security | Health | Logistics | Multi-sector | Protection | Protection - Child Protection | Protection - Gender-Based Violence | Unearmarked | Water Sanitation Hygiene
HTI,2022,4,tier1,18566147,11,0,1,Coordination and support services | Emergency Shelter and NFI | Food Security | Logistics | Multi-sector | Nutrition | Protection | Unearmarked
HTI,2022,5,tier1,941848,4,0,0,Coordination and support services | Logistics | Multi-sector | Unearmarked
HTI,2022,6,tier1,28924357,27,1,1,Coordination and support services | Education | Emergency Shelter and NFI | Food Security | Health | Logistics | Multi-sector | Nutrition | Protection | Protection - Gender-Based Violence | Unearmarked
HTI,2022,7,tier1,43737390,9,0,0,Early Recovery | Education | Emergency Shelter and NFI | Food Security | Protection | Unearmarked
HTI,2022,8,tier1,33910217,12,0,0,Coordination and support services | Food Security | Health | Logistics | Nutrition | Other | Unearmarked
HTI,2022,9,tier1,5593305,7,1,0,Education | Food Security | Nutrition | Protection - Child Protection | Unearmarked | Water Sanitation Hygiene
HTI,2022,10,tier1,18569198,12,1,0,Education | Food Security | Health | Logistics | Other | Unearmarked | Water Sanitation Hygiene
HTI,2022,11,tier1,16589497,10,0,0,Education | Health | Logistics | Unearmarked | Water Sanitation Hygiene
HTI,2022,12,tier1,8853240,11,0,1,Food Security | Health | Logistics | Nutrition | Unearmarked
HTI,2023,1,tier1,26006892,19,0,0,Emergency Shelter and NFI | Food Security | Health | Logistics | Protection | Protection - Gender-Based Violence | Unearmarked | Water Sanitation Hygiene
HTI,2023,2,tier1,4624168,9,0,0,Coordination and support services | Food Security | Health | Logistics | Multi-sector | Protection | Unearmarked | Water Sanitation Hygiene
HTI,2023,3,tier1,4660933,8,0,1,Education | Food Security | Protection | Protection - Child Protection | Water Sanitation Hygiene
HTI,2023,4,tier1,9599742,6,0,0,Coordination and support services | Emergency Shelter and NFI | Food Security | Unearmarked
HTI,2023,5,tier1,25413425,13,1,0,Coordination and support services | Food Security | Health | Multi-sector | Nutrition | Unearmarked
HTI,2023,6,tier1,64627074,61,1,1,Camp Coordination / Management | Coordination and support services | Early Recovery | Education | Emergency Shelter and NFI | Food Security | Health | Logistics | Nutrition | Other | Protection | Protection - Child Protection | Protection - Human Trafficking & Smuggling | Unearmarked | Water Sanitation Hygiene
HTI,2023,7,tier1,9209405,8,1,0,Coordination and support services | Health | Nutrition | Protection | Protection - Gender-Based Violence | Water Sanitation Hygiene
HTI,2023,8,tier1,3210934,8,0,0,Food Security | Logistics | Protection | Protection - Gender-Based Violence | Unearmarked
HTI,2023,9,tier1,124380190,23,0,1,Coordination and support services | Food Security | Logistics | Nutrition | Unearmarked
HTI,2023,10,tier1,136602,2,0,0,Food Security | Unearmarked
HTI,2023,11,tier1,8297677,7,0,0,Coordination and support services | Food Security | Logistics | Protection | Protection - Child Protection | Unearmarked
HTI,2023,12,tier1,2184825,5,1,0,Education | Food Security | Unearmarked
HTI,2024,1,tier1,19994477,10,0,0,Coordination and support services | Food Security | Health | Logistics | Other | Protection | Protection - Gender-Based Violence | Unearmarked | Water Sanitation Hygiene
HTI,2024,2,tier1,5384757,7,0,0,Coordination and support services | Early Recovery | Education | Food Security | Health | Other | Water Sanitation Hygiene
HTI,2024,3,tier1,1575813,4,0,0,Agriculture | Education | Food Security | Protection - Child Protection
HTI,2024,4,tier1,41684298,15,0,0,Coordination and support services | Education | Food Security | Health | Logistics | Multipurpose Cash | Nutrition | Protection - Child Protection | Unearmarked | Water Sanitation Hygiene
HTI,2024,5,tier1,29115301,35,1,1,Camp Coordination / Management | Coordination and support services | Education | Emergency Shelter and NFI | Health | Nutrition | Other | Protection - Child Protection | Protection - Gender-Based Violence | Protection - Human Trafficking & Smuggling | Unearmarked | Water Sanitation Hygiene
HTI,2024,6,tier1,52628758,62,1,1,Camp Coordination / Management | Coordination and support services | Early Recovery | Emergency Shelter and NFI | Food Security | Health | Logistics | Multi-sector | Multipurpose Cash | Nutrition | Other | Protection | Protection - Child Protection | Protection - Gender-Based Violence | Protection - Human Trafficking & Smuggling | Unearmarked | Water Sanitation Hygiene
HTI,2024,7,tier1,14173617,6,0,1,Food Security | Unearmarked
HTI,2024,8,tier1,31786501,12,0,0,Coordination and support services | Education | Emergency Shelter and NFI | Food Security | Health | Multipurpose Cash | Nutrition | Protection - Child Protection | Unearmarked | Water Sanitation Hygiene
HTI,2024,9,tier1,663256,2,0,0,Food Security | Unearmarked
HTI,2024,10,tier1,3317629,2,0,0,Nutrition | Unearmarked
HTI,2024,11,tier1,6729043,10,0,1,Education | Multi-sector | Multipurpose Cash | Nutrition | Unearmarked | Water Sanitation Hygiene
HTI,2024,12,tier1,7308745,9,1,0,Coordination and support services | Education | Food Security | Nutrition | Protection - Human Trafficking & Smuggling | Unearmarked
