DisNo.,ISO,Country,Disaster Type,Disaster Subtype,Associated Types,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",AID Contribution ('000 US$),Event Name,Location,ISO3,country_role,disaster_category,event_year,event_month,year_month,log_affected,log_deaths,norm_affected,norm_deaths,severity_score,severity_data_flag
2022-0647-COL,COL,Colombia,Storm,Tropical cyclone,,2022,10,9.0,2022,10,10.0,,2.0,5000.0,,5002.0,,,,Hurricane 'Julia',San Andrés and Providencia Archipelago,COL,pressure_input,storm,2022,10,2022-10,8.517793011488205,0.0,0.5554740823742471,0.0,0.2777,ok
2021-0184-HTI,HTI,Haiti,Flood,Flash flood,,2021,4,3.0,2021,4,12.0,7.0,,13380.0,,13380.0,,,,,"Jean-Rabel, Terrier-Rouge, Caracol, Trou-du-Nord communes (North-West department) and Bois de Lance (Nord-East Department)",HTI,tier1,flood,2021,4,2021-04,9.50159106930499,2.0794415416798357,0.6196308801116772,0.2647623340874051,0.4422,ok
2020-0183-GTM,GTM,Guatemala,Flood,Flood (General),"Slide (land, mud, snow, rock)|Storm",2020,5,9.0,2020,5,11.0,3.0,,16000.0,,16000.0,,,,,"Zacapa, San Marcos Departments",GTM,tier1,flood,2020,5,2020-05,9.680406499268875,1.3862943611198906,0.6312920389047566,0.17650822272493677,0.4039,ok
2019-0025-CUB,CUB,Cuba,Storm,Tornado,,2019,1,27.0,2019,1,28.0,6.0,195.0,9916.0,,10111.0,,,,,"Cerro, 10 de Octubre,Guanabacoa, Regla, San Miguel del Padron (la Havana)",CUB,tier1,storm,2019,1,2019-01,9.221478116386638,1.9459101490553132,0.6013637673427235,0.24776061392524554,0.4246,ok
2019-0075-COL,COL,Colombia,Flood,Flood (General),,2019,2,20.0,2019,2,26.0,,,9000.0,,9000.0,,,,,"Condoto, Tadó, Cértegui, Andagoya, Río Iró e Istmina municipalities (Chocó department)",COL,pressure_input,flood,2019,2,2019-02,9.105090961257085,0.0,0.5937737674321195,0.0,0.2969,ok
2019-0490-GTM,GTM,Guatemala,Storm,Severe weather,"Flood|Slide (land, mud, snow, rock)",2019,10,16.0,2019,10,17.0,2.0,,15000.0,,15000.0,,,,,San Lucas Sacatepéquez Municipality (Sacatepéquez Department),GTM,tier1,storm,2019,10,2019-10,9.61587214452889,1.0986122886681098,0.627083535430622,0.1398794570439813,0.3835,ok
2020-0071-COL,COL,Colombia,Flood,Flash flood,"Slide (land, mud, snow, rock)",2020,2,26.0,2020,2,27.0,14.0,7.0,150.0,,157.0,,,,,Piedecuesta Municipality (Santander Department); Chinchina (Caldas Department),COL,pressure_input,flood,2020,2,2020-02,5.062595033026967,2.70805020110221,0.33014893959154173,0.34479915770581465,0.3375,ok
2020-0474-SLV,SLV,El Salvador,Storm,Tropical cyclone,,2020,11,2.0,2020,11,4.0,,,,,,,,,Hurricane 'Eta',"La Union, department of La Union",SLV,tier1,storm,2020,11,2020-11,0.0,0.0,0.0,0.0,0.0,no_impact_data
2020-0495-SLV,SLV,El Salvador,Storm,Tropical cyclone,,2020,11,17.0,2020,11,18.0,1.0,,,,,,,,Hurricane 'Iota',,SLV,tier1,storm,2020,11,2020-11,0.0,0.6931471805599453,0.0,0.08825411136246838,0.0441,ok
2021-0182-COL,COL,Colombia,Flood,Flood (General),"Slide (land, mud, snow, rock)",2021,4,1.0,2021,4,5.0,3.0,5.0,360.0,,365.0,,,,,"Florencia City (Caquetá Department); Quípama Town (Boyacá Department), Bogotá",COL,pressure_input,flood,2021,4,2021-04,5.902633333401366,1.3862943611198906,0.3849306774701621,0.17650822272493677,0.2807,ok
