iso3,year,month,source_country,source_org,dest_org,sector,amount_usd,is_cerf,is_echo,country_role
BLZ,2024,6,United States,United States Department of State,United Nations Children's Fund,Unearmarked,1,False,False,tier1
BLZ,2024,8,United States,United States Department of State,United Nations Children's Fund,Multi-sector,1100000,False,False,tier1
BLZ,2024,9,United States,United States Department of State,International Organization for Migration,Multi-sector,399915,False,False,tier1
BLZ,2024,10,Norway,"Norway, Government of",Norwegian Refugee Council,Unearmarked,1129908,False,False,tier1
BLZ,2024,11,United States,United States Department of State,United Nations High Commissioner for Refugees,Multi-sector,1750000,False,False,tier1
BRB,2019,3,Multilateral,United States Fund for UNICEF,United Nations Children's Fund,Education,19800,False,False,tier1
BRB,2020,4,United States,"United States of America, Government of",United Nations Children's Fund,Water Sanitation Hygiene,500000,False,False,tier1
BRB,2020,4,Multilateral,United Nations Children's Fund,United Nations Children's Fund,Multi-sector,279879,False,False,tier1
BRB,2020,4,Multilateral,United Nations Children's Fund,United Nations Children's Fund,Education,78957,False,False,tier1
BRB,2020,8,United Arab Emirates,"United Arab Emirates, Government of","Barbados, Government of",Health,550286,False,False,tier1
BRB,2020,11,United States,"United States of America, Government of",United Nations Children's Fund,Unearmarked,366282,False,False,tier1
BRB,2022,2,Japan,"Japan, Government of",Multi-donor flexible humanitarian contribution (UNICEF Regional Humanitarian Thematic),Health,10000000,False,False,tier1
BRB,2022,3,Japan,"Japan, Government of",United Nations Development Programme,Food Security,12250712,False,False,tier1
BRB,2022,6,United States,"United States of America, Government of",United Nations Children's Fund,Health,894200,False,False,tier1
BRB,2022,7,Multilateral,UN Multi-Partner Trust Fund,Food and Agriculture Organization of the United Nations,Food Security,150000,False,False,tier1
BRB,2023,4,United States,"United States of America, Government of",United Nations Children's Fund,Protection - Child Protection,112293,False,False,tier1
BRB,2023,4,United States,"United States of America, Government of",United Nations Children's Fund,Early Recovery,87707,False,False,tier1
BRB,2023,6,United States,"United States of America, Government of",United Nations Children's Fund,Health,220000,False,False,tier1
BRB,2023,6,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,United Nations Children's Fund,Education,82111,False,True,tier1
BRB,2024,6,Japan,"Japan, Government of",United Nations Industrial Development Organization,Other,4627282,False,False,tier1
BRB,2024,6,Norway,"Norway, Government of",Norwegian Refugee Council,Coordination and support services,486268,False,False,tier1
BRB,2024,9,United States,United States Department of State,International Organization for Migration,Multi-sector,30816,False,False,tier1
BRB,2024,10,Multilateral,United Nations High Commissioner for Refugees,United Nations Children's Fund,Education,149394,False,False,tier1
BRB,2024,11,United States,United States Department of State,United Nations Children's Fund,Multi-sector,150000,False,False,tier1
COL,2019,1,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,Norwegian Refugee Council,Multi-sector,1349635,False,True,pressure
COL,2019,1,Multilateral,International Federation of Red Cross and Red Crescent Societies,Colombian Red Cross Society,Multi-sector,533806,False,False,pressure
COL,2019,1,Multilateral,,Colombian Red Cross Society,Multi-sector,452368,False,False,pressure
COL,2019,1,Colombia,Mercy Corps,Mercy Corps,Multi-sector,255253,False,False,pressure
COL,2019,1,Multilateral,,International Rescue Committee,Multi-sector,210083,False,False,pressure
COL,2019,1,Multilateral,Ole Kirk’s Foundation,Danish Refugee Council,Multi-sector,200428,False,False,pressure
COL,2019,1,Multilateral,Spanish Red Cross,Colombian Red Cross Society,Multi-sector,136831,False,False,pressure
COL,2019,1,Multilateral,Medicor Foundation,Caritas Switzerland,Multi-sector,98289,False,False,pressure
COL,2019,1,Multilateral,Stichting Vluchteling,International Rescue Committee,Multi-sector,74028,False,False,pressure
