year,asylum_iso3,origin_iso3,country_asylum,country_origin,refugees_in,asylum_seekers_in,total_displaced_in,idps,stateless
2019,COL,SRB,Colombia,Serbia and Kosovo: S/RES/1244 (1999),7,0,7,0,0
2019,COL,XXA,Colombia,Stateless,0,0,0,0,11
2019,COL,SYR,Colombia,Syrian Arab Rep.,8,8,16,0,0
2019,COL,TUR,Colombia,Türkiye,5,31,36,0,0
2019,COL,UNK,Colombia,Unknown ,5,113,118,0,0
2019,COL,VEN,Colombia,Venezuela,425,8824,9249,0,0
2019,COL,YEM,Colombia,Yemen,0,7,7,0,0
2020,COL,AFG,Colombia,Afghanistan,9,0,9,0,0
2020,COL,BOL,Colombia,Bolivia (Plurinational State of),5,0,5,0,0
2020,COL,CMR,Colombia,Cameroon,0,6,6,0,0
2020,COL,COL,Colombia,Colombia,0,0,0,8252788,0
2020,COL,CUB,Colombia,Cuba,77,137,214,0,0
2020,COL,ECU,Colombia,Ecuador,7,5,12,0,0
2020,COL,ERI,Colombia,Eritrea,5,0,5,0,0
2020,COL,ETH,Colombia,Ethiopia,7,0,7,0,0
2020,COL,PSE,Colombia,State of Palestine,0,5,5,0,0
2020,COL,GHA,Colombia,Ghana,0,5,5,0,0
2020,COL,HND,Colombia,Honduras,5,0,5,0,0
2020,COL,HUN,Colombia,Hungary,5,0,5,0,0
2020,COL,IRQ,Colombia,Iraq,7,5,12,0,0
2020,COL,NIC,Colombia,Nicaragua,9,0,9,0,0
2020,COL,NGA,Colombia,Nigeria,0,5,5,0,0
2020,COL,SLV,Colombia,El Salvador,11,0,11,0,0
2020,COL,SLE,Colombia,Sierra Leone,5,0,5,0,0
2020,COL,SOM,Colombia,Somalia,11,0,11,0,0
2020,COL,SRB,Colombia,Serbia and Kosovo: S/RES/1244 (1999),5,0,5,0,0
2020,COL,XXA,Colombia,Stateless,0,0,0,0,11
2020,COL,SYR,Colombia,Syrian Arab Rep.,8,8,16,0,0
2020,COL,TUR,Colombia,Türkiye,5,34,39,0,0
2020,COL,UNK,Colombia,Unknown ,5,129,134,0,0
2020,COL,VEN,Colombia,Venezuela,771,19587,20358,0,0
2020,COL,YEM,Colombia,Yemen,0,7,7,0,0
2021,COL,AFG,Colombia,Afghanistan,9,0,9,0,0
2021,COL,BOL,Colombia,Bolivia (Plurinational State of),5,0,5,0,0
2021,COL,COL,Colombia,Colombia,0,0,0,6766002,0
2021,COL,CUB,Colombia,Cuba,88,98,186,0,0
2021,COL,ECU,Colombia,Ecuador,5,7,12,0,0
2021,COL,ERI,Colombia,Eritrea,5,0,5,0,0
2021,COL,ETH,Colombia,Ethiopia,7,0,7,0,0
2021,COL,GHA,Colombia,Ghana,5,0,5,0,0
2021,COL,HTI,Colombia,Haiti,0,5,5,0,0
2021,COL,HND,Colombia,Honduras,5,0,5,0,0
2021,COL,HUN,Colombia,Hungary,5,0,5,0,0
2021,COL,IRQ,Colombia,Iraq,8,0,8,0,0
2021,COL,LBR,Colombia,Liberia,5,0,5,0,0
2021,COL,NIC,Colombia,Nicaragua,10,0,10,0,0
2021,COL,SLV,Colombia,El Salvador,7,5,12,0,0
2021,COL,SLE,Colombia,Sierra Leone,5,0,5,0,0
2021,COL,SOM,Colombia,Somalia,11,0,11,0,0
2021,COL,SRB,Colombia,Serbia and Kosovo: S/RES/1244 (1999),5,0,5,0,0
2021,COL,XXA,Colombia,Stateless,0,0,0,0,11
