SID,ISO3,Country,country_role,year,month,NAME,peak_wind_knots,peak_sshs,min_dist2land,made_landfall,track_observations,sshs_label,wind_intensity_score,year_month
2022179N08310,COL,Colombia,pressure_input,2022,6,BONNIE,35.0,-3,0,1,11,depression,0.2188,2022-06
2022179N08310,COL,Colombia,pressure_input,2022,7,BONNIE,35.0,0,195,0,3,tropical_storm,0.2188,2022-07
2022179N08310,CRI,Costa Rica,tier1,2022,7,BONNIE,50.0,0,0,1,6,tropical_storm,0.3125,2022-07
2022179N08310,NIC,Nicaragua,tier1,2022,7,BONNIE,50.0,0,0,1,7,tropical_storm,0.3125,2022-07
2022179N08310,TTO,Trinidad and Tobago,tier1,2022,6,BONNIE,35.0,-3,0,1,1,depression,0.2188,2022-06
2022179N08310,VEN,Venezuela,pressure_input,2022,6,BONNIE,35.0,-3,0,1,14,depression,0.2188,2022-06
2022257N16312,DOM,Dominican Republic,tier1,2022,9,FIONA,90.0,2,0,1,7,cat2,0.5625,2022-09
2022257N16312,PRI,Puerto Rico,tier1,2022,9,FIONA,75.0,1,0,1,2,cat1,0.4688,2022-09
2022266N12294,COL,Colombia,pressure_input,2022,9,IAN,30.0,-3,230,0,2,depression,0.1875,2022-09
2022266N12294,CUB,Cuba,tier1,2022,9,IAN,110.0,3,0,1,10,cat3,0.6875,2022-09
2022280N11294,COL,Colombia,pressure_input,2022,10,JULIA,55.0,0,0,1,17,tropical_storm,0.3438,2022-10
2022280N11294,GTM,Guatemala,tier1,2022,10,JULIA,30.0,-1,0,0,1,subtropical_storm,0.1875,2022-10
2022280N11294,HND,Honduras,tier1,2022,10,JULIA,35.0,0,11,1,2,tropical_storm,0.2188,2022-10
2022280N11294,NIC,Nicaragua,tier1,2022,10,JULIA,75.0,1,0,1,9,cat1,0.4688,2022-10
2022280N11294,SLV,El Salvador,tier1,2022,10,JULIA,35.0,0,0,1,4,tropical_storm,0.2188,2022-10
2022280N11294,VEN,Venezuela,pressure_input,2022,10,JULIA,31.0,-1,0,1,9,subtropical_storm,0.1938,2022-10
2022304N16287,BLZ,Belize,tier1,2022,11,LISA,80.0,1,0,1,5,cat1,0.5,2022-11
2022304N16287,GTM,Guatemala,tier1,2022,11,LISA,80.0,1,0,1,6,cat1,0.5,2022-11
2022311N21293,BHS,Bahamas,tier1,2022,11,NICOLE,65.0,1,101,0,12,cat1,0.4062,2022-11
2023152N26274,CUB,Cuba,tier1,2023,6,ARLENE,25.0,-3,39,0,3,depression,0.1562,2023-06
2023170N11323,BRB,Barbados,tier1,2023,6,BRET,55.0,0,333,0,1,tropical_storm,0.3438,2023-06
2023170N11323,COL,Colombia,pressure_input,2023,6,BRET,45.0,0,89,0,5,tropical_storm,0.2812,2023-06
