ISO3,Country,country_role,year_month,event_year,event_month,event_count,max_severity,mean_severity,sum_affected,sum_deaths,disaster_types,has_storm,has_flood,has_earthquake,has_drought,has_heatwave,compound_event
CUB,Cuba,tier1,2023-06,2023,6,1,0.4443,0.4443,18500.0,6.0,flood,0,1,0,0,0,0
CUB,Cuba,tier1,2023-08,2023,8,1,0.0,0.0,0.0,0.0,storm,1,0,0,0,0,0
CUB,Cuba,tier1,2024-03,2024,3,1,0.4078,0.4078,270000.0,0.0,storm,1,0,0,0,0,0
CUB,Cuba,tier1,2024-09,2024,9,1,0.0,0.0,0.0,0.0,storm,1,0,0,0,0,0
CUB,Cuba,tier1,2024-10,2024,10,1,0.566,0.566,320000.0,10.0,storm,1,0,0,0,0,0
CUB,Cuba,tier1,2024-11,2024,11,2,0.4957,0.3897,4006007.0,0.0,earthquake|storm,1,0,1,0,0,1
DOM,Dominican Republic,tier1,2020-07,2020,7,1,0.3513,0.3513,5595.0,2.0,storm,1,0,0,0,0,0
DOM,Dominican Republic,tier1,2020-08,2020,8,1,0.4028,0.4028,10000.0,4.0,storm,1,0,0,0,0,0
DOM,Dominican Republic,tier1,2021-07,2021,7,1,0.2342,0.2342,153.0,2.0,storm,1,0,0,0,0,0
DOM,Dominican Republic,tier1,2021-08,2021,8,1,0.2707,0.2707,4025.0,0.0,storm,1,0,0,0,0,0
DOM,Dominican Republic,tier1,2022-02,2022,2,1,0.1811,0.1811,257.0,0.0,flood,0,1,0,0,0,0
DOM,Dominican Republic,tier1,2022-03,2022,3,1,0.1745,0.1745,210.0,0.0,flood,0,1,0,0,0,0
DOM,Dominican Republic,tier1,2022-09,2022,9,1,0.5322,0.5322,1434802.0,2.0,storm,1,0,0,0,0,0
DOM,Dominican Republic,tier1,2023-06,2023,6,1,0.4541,0.4541,289083.0,1.0,flood,0,1,0,0,0,0
DOM,Dominican Republic,tier1,2023-08,2023,8,1,0.4983,0.4983,289083.0,3.0,storm,1,0,0,0,0,0
DOM,Dominican Republic,tier1,2023-11,2023,11,1,0.5527,0.5527,22236.0,34.0,flood,0,1,0,0,0,0
DOM,Dominican Republic,tier1,2024-11,2024,11,2,0.3835,0.34850000000000003,30000.0,2.0,flood|storm,1,1,0,0,0,1
GTM,Guatemala,tier1,2019-08,2019,8,1,0.4305,0.4305,63453.0,2.0,storm,1,0,0,0,0,0
GTM,Guatemala,tier1,2019-10,2019,10,1,0.3835,0.3835,15000.0,2.0,storm,1,0,0,0,0,0
GTM,Guatemala,tier1,2020-05,2020,5,2,0.4819,0.44289999999999996,322886.0,5.0,flood|storm,1,1,0,0,0,1
GTM,Guatemala,tier1,2020-06,2020,6,1,0.271,0.271,4070.0,0.0,flood,0,1,0,0,0,0
GTM,Guatemala,tier1,2020-11,2020,11,2,0.8027,0.62845,2547186.0,162.0,storm,1,0,0,0,0,0
GTM,Guatemala,tier1,2021-04,2021,4,1,0.2516,0.2516,2245.0,0.0,flood,0,1,0,0,0,0
GTM,Guatemala,tier1,2021-05,2021,5,1,0.3021,0.3021,10572.0,0.0,flood,0,1,0,0,0,0
GTM,Guatemala,tier1,2021-09,2021,9,1,0.3757,0.3757,11799.0,2.0,flood,0,1,0,0,0,0
GTM,Guatemala,tier1,2022-02,2022,2,1,0.4258,0.4258,31302.0,3.0,earthquake,0,0,1,0,0,0
GTM,Guatemala,tier1,2022-05,2022,5,1,0.7328,0.7328,2890023.0,48.0,flood,0,1,0,0,0,0
GTM,Guatemala,tier1,2022-10,2022,10,1,0.5274,0.5274,457311.0,4.0,storm,1,0,0,0,0,0
GTM,Guatemala,tier1,2023-05,2023,5,1,0.777,0.777,4400005.0,78.0,flood,0,1,0,0,0,0
GTM,Guatemala,tier1,2024-06,2024,6,2,0.6216,0.54325,620515.0,28.0,flood|storm,1,1,0,0,0,1
GTM,Guatemala,tier1,2024-11,2024,11,1,0.353,0.353,50240.0,0.0,storm,1,0,0,0,0,0
GUY,Guyana,tier1,2021-05,2021,5,1,0.3407,0.3407,34500.0,0.0,flood,0,1,0,0,0,0
GUY,Guyana,tier1,2022-05,2022,5,1,0.2027,0.2027,500.0,0.0,flood,0,1,0,0,0,0
HND,Honduras,tier1,2020-02,2020,2,1,0.4072,0.4072,17700.0,3.0,flood,0,1,0,0,0,0
HND,Honduras,tier1,2020-05,2020,5,1,0.3453,0.3453,1200.0,5.0,storm,1,0,0,0,0,0
HND,Honduras,tier1,2020-11,2020,11,2,0.7998,0.7023999999999999,5144584.0,124.0,storm,1,0,0,0,0,0
HND,Honduras,tier1,2022-02,2022,2,1,0.2444,0.2444,1800.0,0.0,flood,0,1,0,0,0,0
HND,Honduras,tier1,2022-07,2022,7,1,0.5133,0.5133,76657.0,9.0,flood,0,1,0,0,0,0
HND,Honduras,tier1,2022-10,2022,10,1,0.5014,0.5014,144000.0,5.0,storm,1,0,0,0,0,0
HND,Honduras,tier1,2023-01,2023,1,1,0.3013,0.3013,10300.0,0.0,drought,0,0,0,1,0,0
HND,Honduras,tier1,2023-10,2023,10,1,0.0441,0.0441,0.0,1.0,storm,1,0,0,0,0,0
HND,Honduras,tier1,2023-11,2023,11,1,0.453,0.453,46658.0,4.0,storm,1,0,0,0,0,0
HND,Honduras,tier1,2024-06,2024,6,1,0.2826,0.2826,1500.0,1.0,storm,1,0,0,0,0,0
HND,Honduras,tier1,2024-11,2024,11,1,0.4533,0.4533,127716.0,2.0,storm,1,0,0,0,0,0
HTI,Haiti,tier1,2019-06,2019,6,1,0.4021,0.4021,3108.0,8.0,flood,0,1,0,0,0,0
HTI,Haiti,tier1,2019-09,2019,9,1,0.3583,0.3583,1325.0,6.0,flood,0,1,0,0,0,0
HTI,Haiti,tier1,2020-08,2020,8,1,0.5836,0.5836,44175.0,39.0,storm,1,0,0,0,0,0
HTI,Haiti,tier1,2021-04,2021,4,1,0.4422,0.4422,13380.0,7.0,flood,0,1,0,0,0,0
HTI,Haiti,tier1,2021-07,2021,7,1,0.0452,0.0452,3.0,0.0,storm,1,0,0,0,0,0
HTI,Haiti,tier1,2021-08,2021,8,2,0.939,0.4695,702763.0,2575.0,earthquake|storm,1,0,1,0,0,1
HTI,Haiti,tier1,2022-01,2022,1,2,0.4217,0.35875,13517.0,7.0,earthquake|flood,0,1,1,0,0,1
HTI,Haiti,tier1,2022-03,2022,3,1,0.2726,0.2726,500.0,2.0,flood,0,1,0,0,0,0
HTI,Haiti,tier1,2023-06,2023,6,1,0.68,0.68,225143.0,78.0,flood,0,1,0,0,0,0
