Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2019,Denmark,Colombia,DNK,COL,5,30,0,0,0,0,0
2019,"Dominican Rep.",Colombia,DOM,COL,0,10,0,0,0,0,0
2019,Ecuador,Colombia,ECU,COL,102928,9918,0,0,0,0,0
2019,Finland,Colombia,FIN,COL,0,19,0,0,0,0,0
2019,France,Colombia,FRA,COL,587,454,0,0,0,0,0
2019,"United Kingdom of Great Britain and Northern Ireland",Colombia,GBR,COL,24,61,0,0,0,0,0
2019,Germany,Colombia,DEU,COL,69,579,0,0,0,0,0
2019,Greece,Colombia,GRC,COL,0,5,0,0,0,0,0
2019,Guatemala,Colombia,GTM,COL,8,8,0,0,0,0,0
2019,Iceland,Colombia,ISL,COL,0,5,0,0,0,0,0
2019,Israel,Colombia,ISR,COL,0,284,0,0,0,0,0
2019,Italy,Colombia,ITA,COL,690,466,0,0,0,0,0
2019,"Rep. of Korea",Colombia,KOR,COL,0,10,0,0,0,0,0
2019,Luxembourg,Colombia,LUX,COL,0,10,0,0,0,0,0
2019,Mexico,Colombia,MEX,COL,351,628,0,0,0,0,0
2019,Malta,Colombia,MLT,COL,0,12,0,0,0,0,0
2019,"Netherlands (Kingdom of the)",Colombia,NLD,COL,19,146,0,0,0,0,0
2019,Nicaragua,Colombia,NIC,COL,6,0,0,0,0,0,0
2019,Norway,Colombia,NOR,COL,12,26,0,0,0,0,0
2019,"New Zealand",Colombia,NZL,COL,30,10,0,0,0,0,0
2019,Panama,Colombia,PAN,COL,1702,1897,0,0,0,0,0
2019,Paraguay,Colombia,PRY,COL,17,18,0,0,0,0,0
2019,Peru,Colombia,PER,COL,705,1230,0,0,0,0,0
2019,Portugal,Colombia,PRT,COL,45,17,0,0,0,0,0
2019,"El Salvador",Colombia,SLV,COL,5,6,0,0,0,0,0
2019,Spain,Colombia,ESP,COL,242,34110,0,0,0,0,0
2019,Suriname,Colombia,SUR,COL,0,5,0,0,0,0,0
2019,Sweden,Colombia,SWE,COL,39,322,0,0,0,0,0
2019,Switzerland,Colombia,CHE,COL,246,90,0,0,0,0,0
2019,"Trinidad and Tobago",Colombia,TTO,COL,12,53,0,0,0,0,0
2019,Uruguay,Colombia,URY,COL,158,29,0,0,0,0,0
2019,"United States of America",Colombia,USA,COL,2936,12570,0,0,0,0,0
2019,"Venezuela (Bolivarian Republic of)",Colombia,VEN,COL,67622,49,0,0,0,0,0
2020,Aruba,Colombia,ABW,COL,0,0,0,0,0,0,13
2020,Argentina,Colombia,ARG,COL,560,226,0,0,0,0,0
2020,Australia,Colombia,AUS,COL,103,317,0,0,0,0,0
2020,Austria,Colombia,AUT,COL,0,19,0,0,0,0,0
2020,Belgium,Colombia,BEL,COL,105,410,0,0,0,0,0
2020,Bahamas,Colombia,BHS,COL,5,0,0,0,0,0,0
2020,"Bolivia (Plurinational State of)",Colombia,BOL,COL,202,0,0,0,0,0,0
2020,Brazil,Colombia,BRA,COL,1297,1986,0,0,0,0,0
2020,Canada,Colombia,CAN,COL,4577,4501,0,0,0,0,0
2020,Chile,Colombia,CHL,COL,1231,3332,0,0,0,0,0
2020,Colombia,Colombia,COL,COL,0,0,8252788,0,0,741889,500000
2020,"Costa Rica",Colombia,CRI,COL,2322,1042,0,0,0,0,0
2020,"Curacao ",Colombia,CUW,COL,44,33,0,0,0,0,0
2020,Denmark,Colombia,DNK,COL,5,17,0,0,0,0,0
2020,"Dominican Rep.",Colombia,DOM,COL,0,5,0,0,0,0,0
2020,Ecuador,Colombia,ECU,COL,102931,11401,0,0,0,0,0
2020,Finland,Colombia,FIN,COL,0,26,0,0,0,0,0
2020,France,Colombia,FRA,COL,644,690,0,0,0,0,0
2020,"United Kingdom of Great Britain and Northern Ireland",Colombia,GBR,COL,23,52,0,0,0,0,0
2020,Germany,Colombia,DEU,COL,69,845,0,0,0,0,0
2020,Greece,Colombia,GRC,COL,0,5,0,0,0,0,0
2020,Guatemala,Colombia,GTM,COL,10,5,0,0,0,0,0
2020,Honduras,Colombia,HND,COL,0,5,0,0,0,0,0
2020,Israel,Colombia,ISR,COL,0,295,0,0,0,0,0
2020,Italy,Colombia,ITA,COL,664,573,0,0,0,0,0
2020,"Rep. of Korea",Colombia,KOR,COL,0,14,0,0,0,0,0
2020,Luxembourg,Colombia,LUX,COL,0,10,0,0,0,0,0
2020,Mexico,Colombia,MEX,COL,448,899,0,0,0,0,0
2020,Malta,Colombia,MLT,COL,0,26,0,0,0,0,0
2020,"Netherlands (Kingdom of the)",Colombia,NLD,COL,43,160,0,0,0,0,0
2020,Nicaragua,Colombia,NIC,COL,6,0,0,0,0,0,0
2020,Norway,Colombia,NOR,COL,12,13,0,0,0,0,0
2020,"New Zealand",Colombia,NZL,COL,29,16,0,0,0,0,0
2020,Panama,Colombia,PAN,COL,1698,1114,0,0,0,0,0
2020,Paraguay,Colombia,PRY,COL,17,40,0,0,0,0,0
2020,Peru,Colombia,PER,COL,706,1646,0,0,0,0,0
2020,Portugal,Colombia,PRT,COL,33,14,0,0,0,0,0
2020,"El Salvador",Colombia,SLV,COL,5,7,0,0,0,0,0
2020,Spain,Colombia,ESP,COL,985,23735,0,0,0,0,0
2020,Suriname,Colombia,SUR,COL,0,5,0,0,0,0,0
2020,Sweden,Colombia,SWE,COL,40,101,0,0,0,0,0
2020,Switzerland,Colombia,CHE,COL,275,69,0,0,0,0,0
2020,"Trinidad and Tobago",Colombia,TTO,COL,12,60,0,0,0,0,0
